continent,common_name,species_name
North America,Highland Tinamou,Nothocercus bonapartei
North America,Great Tinamou,Tinamus major
North America,Little Tinamou,Crypturellus soui
North America,Slaty-breasted Tinamou,Crypturellus boucardi
North America,Choco Tinamou,Crypturellus kerriae
North America,Thicket Tinamou,Crypturellus cinnamomeus
North America,Northern Screamer,Chauna chavaria
North America,White-faced Whistling-Duck,Dendrocygna viduata
North America,Black-bellied Whistling-Duck,Dendrocygna autumnalis
North America,West Indian Whistling-Duck,Dendrocygna arborea
North America,Fulvous Whistling-Duck,Dendrocygna bicolor
North America,Emperor Goose,Anser canagicus
North America,Snow Goose,Anser caerulescens
North America,Ross's Goose,Anser rossii
North America,Graylag Goose,Anser anser
North America,Swan Goose,Anser cygnoides
North America,Greater White-fronted Goose,Anser albifrons
North America,Lesser White-fronted Goose,Anser erythropus
North America,Taiga Bean-Goose,Anser fabalis
North America,Tundra Bean-Goose,Anser serrirostris
North America,Pink-footed Goose,Anser brachyrhynchus
North America,Brant,Branta bernicla
North America,Barnacle Goose,Branta leucopsis
North America,Cackling Goose,Branta hutchinsii
North America,Canada Goose,Branta canadensis
North America,Hawaiian Goose,Branta sandvicensis
North America,Mute Swan,Cygnus olor
North America,Trumpeter Swan,Cygnus buccinator
North America,Tundra Swan,Cygnus columbianus
North America,Whooper Swan,Cygnus cygnus
North America,Comb Duck,Sarkidiornis sylvicola
North America,Orinoco Goose,Oressochen jubatus
North America,Egyptian Goose,Alopochen aegyptiaca
North America,Ruddy Shelduck,Tadorna ferruginea
North America,Common Shelduck,Tadorna tadorna
North America,Muscovy Duck,Cairina moschata
North America,Wood Duck,Aix sponsa
North America,Mandarin Duck,Aix galericulata
North America,Baikal Teal,Sibirionetta formosa
North America,Garganey,Spatula querquedula
North America,Blue-winged Teal,Spatula discors
North America,Cinnamon Teal,Spatula cyanoptera
North America,Northern Shoveler,Spatula clypeata
North America,Gadwall,Mareca strepera
North America,Falcated Duck,Mareca falcata
North America,Eurasian Wigeon,Mareca penelope
North America,American Wigeon,Mareca americana
North America,Laysan Duck,Anas laysanensis
North America,Hawaiian Duck,Anas wyvilliana
North America,Eastern Spot-billed Duck,Anas zonorhyncha
North America,Mallard,Anas platyrhynchos
North America,Mexican Duck,Anas diazi
North America,American Black Duck,Anas rubripes
North America,Mottled Duck,Anas fulvigula
North America,White-cheeked Pintail,Anas bahamensis
North America,Northern Pintail,Anas acuta
North America,Green-winged Teal,Anas crecca
North America,Canvasback,Aythya valisineria
North America,Redhead,Aythya americana
North America,Common Pochard,Aythya ferina
North America,Ring-necked Duck,Aythya collaris
North America,Ferruginous Duck,Aythya nyroca
North America,Tufted Duck,Aythya fuligula
North America,Greater Scaup,Aythya marila
North America,Lesser Scaup,Aythya affinis
North America,Steller's Eider,Polysticta stelleri
North America,Spectacled Eider,Somateria fischeri
North America,King Eider,Somateria spectabilis
North America,Common Eider,Somateria mollissima
North America,Harlequin Duck,Histrionicus histrionicus
North America,Labrador Duck,Camptorhynchus labradorius
North America,Surf Scoter,Melanitta perspicillata
North America,Velvet Scoter,Melanitta fusca
North America,White-winged Scoter,Melanitta deglandi
North America,Stejneger's Scoter,Melanitta stejnegeri
North America,Common Scoter,Melanitta nigra
North America,Black Scoter,Melanitta americana
North America,Long-tailed Duck,Clangula hyemalis
North America,Bufflehead,Bucephala albeola
North America,Common Goldeneye,Bucephala clangula
North America,Barrow's Goldeneye,Bucephala islandica
North America,Smew,Mergellus albellus
North America,Hooded Merganser,Lophodytes cucullatus
North America,Common Merganser,Mergus merganser
North America,Red-breasted Merganser,Mergus serrator
North America,Masked Duck,Nomonyx dominicus
North America,Ruddy Duck,Oxyura jamaicensis
North America,Plain Chachalaca,Ortalis vetula
North America,Gray-headed Chachalaca,Ortalis cinereiceps
North America,Rufous-vented Chachalaca,Ortalis ruficauda
North America,Rufous-bellied Chachalaca,Ortalis wagleri
North America,West Mexican Chachalaca,Ortalis poliocephala
North America,White-bellied Chachalaca,Ortalis leucogastra
North America,Baudo Guan,Penelope ortoni
North America,Crested Guan,Penelope purpurascens
North America,Black Guan,Chamaepetes unicolor
North America,Highland Guan,Penelopina nigra
North America,Horned Guan,Oreophasis derbianus
North America,Great Curassow,Crax rubra
North America,Helmeted Guineafowl,Numida meleagris
North America,Tawny-faced Quail,Rhynchortyx cinctus
North America,Mountain Quail,Oreortyx pictus
North America,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys
North America,Long-tailed Wood-Partridge,Dendrortyx macroura
North America,Bearded Wood-Partridge,Dendrortyx barbatus
North America,Banded Quail,Philortyx fasciatus
North America,Northern Bobwhite,Colinus virginianus
North America,Black-throated Bobwhite,Colinus nigrogularis
North America,Crested Bobwhite,Colinus cristatus
North America,Scaled Quail,Callipepla squamata
North America,Elegant Quail,Callipepla douglasii
North America,California Quail,Callipepla californica
North America,Gambel's Quail,Callipepla gambelii
North America,Montezuma Quail,Cyrtonyx montezumae
North America,Ocellated Quail,Cyrtonyx ocellatus
North America,Singing Quail,Dactylortyx thoracicus
North America,Marbled Wood-Quail,Odontophorus gujanensis
North America,Black-eared Wood-Quail,Odontophorus melanotis
North America,Rufous-fronted Wood-Quail,Odontophorus erythrops
North America,Tacarcuna Wood-Quail,Odontophorus dialeucos
North America,Black-breasted Wood-Quail,Odontophorus leucolaemus
North America,Spotted Wood-Quail,Odontophorus guttatus
North America,Wild Turkey,Meleagris gallopavo
North America,Ocellated Turkey,Meleagris ocellata
North America,Ruffed Grouse,Bonasa umbellus
North America,Greater Sage-Grouse,Centrocercus urophasianus
North America,Gunnison Sage-Grouse,Centrocercus minimus
North America,Dusky Grouse,Dendragapus obscurus
North America,Sooty Grouse,Dendragapus fuliginosus
North America,Sharp-tailed Grouse,Tympanuchus phasianellus
North America,Greater Prairie-Chicken,Tympanuchus cupido
North America,Lesser Prairie-Chicken,Tympanuchus pallidicinctus
North America,White-tailed Ptarmigan,Lagopus leucura
North America,Willow Ptarmigan,Lagopus lagopus
North America,Rock Ptarmigan,Lagopus muta
North America,Spruce Grouse,Canachites canadensis
North America,Gray Partridge,Perdix perdix
North America,Elliot's Pheasant,Syrmaticus ellioti
North America,Lady Amherst's Pheasant,Chrysolophus amherstiae
North America,Ring-necked Pheasant,Phasianus colchicus
North America,Kalij Pheasant,Lophura leucomelanos
North America,Silver Pheasant,Lophura nycthemera
North America,Indian Peafowl,Pavo cristatus
North America,Chinese Bamboo-Partridge,Bambusicola thoracicus
North America,Red Junglefowl,Gallus gallus
North America,Gray Francolin,Ortygornis pondicerianus
North America,Black Francolin,Francolinus francolinus
North America,Himalayan Snowcock,Tetraogallus himalayensis
North America,Common Quail,Coturnix coturnix
North America,Japanese Quail,Coturnix japonica
North America,Red-legged Partridge,Alectoris rufa
North America,Chukar,Alectoris chukar
North America,Erckel's Francolin,Pternistis erckelii
North America,Chilean Flamingo,Phoenicopterus chilensis
North America,American Flamingo,Phoenicopterus ruber
North America,Least Grebe,Tachybaptus dominicus
North America,Pied-billed Grebe,Podilymbus podiceps
North America,Atitlan Grebe,Podilymbus gigas
North America,Horned Grebe,Podiceps auritus
North America,Red-necked Grebe,Podiceps grisegena
North America,Eared Grebe,Podiceps nigricollis
North America,Western Grebe,Aechmophorus occidentalis
North America,Clark's Grebe,Aechmophorus clarkii
North America,Rock Pigeon,Columba livia
North America,Common Wood-Pigeon,Columba palumbus
North America,Pale-vented Pigeon,Patagioenas cayennensis
North America,Scaled Pigeon,Patagioenas speciosa
