box,latitude,longitude,class,class score,order,order score,family,family score,genus,genus score,species,species score,Royal Spoonbill,Pied Oystercatcher,Gentoo Penguin,Australian Wood Duck,European Herring Gull,Grey Teal,Masked Lapwing,Australian White Ibis,Lesser Black-backed Gull,Silver Gull,Gull-billed Tern,Pacific Black Duck,Pied Stilt
"[17697.5, 3707.0, 17768.5, 3759.0]",-0.00042971744702651154,0.002041301764832877,aves,0.9994613528251648,pelecaniformes,0.9992271661758423,threskiornithidae,0.9992271661758423,platalea,0.9991851449012756,regia,0.9991851449012756,0.9991851449012756,3.1775678507983685e-05,7.736001862213016e-06,3.864600330416579e-06,8.164280188793782e-06,1.7971442503039725e-06,1.0192729860136751e-06,4.201103365630843e-05,6.650514450257106e-08,1.0533693966863211e-05,0.0001679467095527798,1.0092858246935066e-06,2.8901800419589563e-07
"[4756.5, 1097.0, 4828.5, 1178.0]",-0.0001309412258217672,0.0005516798459347861,aves,0.9997459650039673,pelecaniformes,0.9994831681251526,threskiornithidae,0.9994831681251526,platalea,0.9986829161643982,regia,0.9986829161643982,0.9986829161643982,2.246842450404074e-05,5.5701071687508374e-05,1.685661482042633e-05,8.650209929328412e-05,8.123412044369616e-06,7.834285497665405e-06,0.0008002506219781935,1.2527100352599518e-06,1.6215455616475083e-05,3.554049544618465e-05,1.1109466868219897e-05,1.2297124385440839e-06
"[12721.5, 6103.0, 12802.5, 6163.0]",-0.0007059890443647457,0.0014690742188460594,aves,0.9994521737098694,charadriiformes,0.9976378679275513,laridae,0.9969719648361206,larus,0.9969032406806946,fuscus,0.9967329502105713,5.224369033385301e-06,2.858025072782766e-05,0.00032020651269704103,5.8775221987161785e-05,0.00017030238814186305,4.6714812924619764e-05,0.0003254882467444986,0.00022405944764614105,0.9967329502105713,2.6843948944588192e-05,4.190065374132246e-05,0.0011593468952924013,0.0003118197782896459
"[17113.5, 6410.0, 17147.5, 6433.0]",-0.0007391991926281124,0.001971946082584424,aves,0.9964743852615356,charadriiformes,0.9964447021484375,charadriidae,0.9963788390159607,vanellus,0.9963788390159607,miles,0.9963788390159607,7.343354013755743e-07,2.0239920559106395e-05,7.526474291807972e-06,1.0453521781528252e-07,1.6304929317811911e-07,6.346291684167227e-06,0.9963788390159607,2.064784894173499e-06,5.825203857057204e-07,3.310491592856124e-06,2.174773544538766e-05,1.2883447197964415e-05,1.9834365957649425e-05
"[18351.5, 6092.0, 18404.5, 6115.0]",-0.0007025932059807965,0.0021155497566175273,aves,0.9984062910079956,charadriiformes,0.9978674650192261,charadriidae,0.9957482218742371,vanellus,0.9957482218742371,miles,0.9957482218742371,8.186473860405385e-05,0.00026634795358404517,0.000161263276822865,6.88895988787408e-06,1.1134713531646412e-05,8.442813123110682e-05,0.9957482218742371,0.0001247205218533054,1.9374112525838427e-05,0.0008180211298167706,0.0008624321781098843,7.963835378177464e-05,0.00014196122356224805
"[17051.5, 4897.0, 17087.5, 4930.0]",-0.0005656085389672554,0.0019649241794854107,aves,0.9975476264953613,charadriiformes,0.9972582459449768,charadriidae,0.9955449104309082,vanellus,0.9955449104309082,miles,0.9955449104309082,3.8655466596537735e-06,0.00019250666082371026,0.00014521522098220885,1.5903497114777565e-06,1.6097792467917316e-06,2.5690649636089802e-05,0.9955449104309082,6.889064479764784e-06,1.4349610864883289e-05,3.075040513067506e-05,3.8543803384527564e-05,0.00010613722406560555,0.0014355683233588934
"[18141.5, 6713.0, 18182.5, 6734.0]",-0.0007739633686265069,0.0020906853128570863,aves,0.9923021793365479,charadriiformes,0.9921956658363342,charadriidae,0.9917831420898438,vanellus,0.9917831420898438,miles,0.9917831420898438,9.893508831737563e-06,4.7057583287823945e-05,2.3122483980841935e-05,9.948939805326518e-07,1.9696874460350955e-06,3.111312980763614e-05,0.9917831420898438,9.241925909009296e-06,2.839616399796796e-06,0.00020872805907856673,0.00011282994091743603,3.222170198569074e-05,3.905111225321889e-05
"[15791.5, 9488.0, 15818.5, 9513.0]",-0.001093632629379955,0.0018193635816378285,aves,0.9952139258384705,charadriiformes,0.9946581125259399,charadriidae,0.9904688000679016,vanellus,0.9904688000679016,miles,0.9904688000679016,1.4842137716186699e-05,0.000749514380004257,0.00019995408365502954,3.4542081266408786e-06,5.171009888726985e-06,7.622723933309317e-05,0.9904688000679016,2.0614092136383988e-05,4.7259891289286315e-05,4.497377449297346e-05,0.0006317089428193867,0.00024073634995147586,0.002710667671635747
"[17812.5, 5700.0, 17861.5, 5721.0]",-0.0006573537319166606,0.002053273534050867,aves,0.9903945922851562,charadriiformes,0.9903756976127625,charadriidae,0.9902490973472595,vanellus,0.9902490973472595,miles,0.9902490973472595,3.5270818443677854e-07,1.5708978025941178e-05,7.681013812543824e-06,1.373375653201947e-07,1.23966529486097e-07,3.951886810682481e-06,0.9902490973472595,1.588546069797303e-06,7.011590810179769e-07,1.0537752132222522e-05,2.1326550267986022e-05,5.131113084644312e-06,7.821436156518757e-05
"[18244.5, 7061.0, 18285.5, 7081.0]",-0.000813965193657772,0.0021025419689095185,aves,0.9924122095108032,charadriiformes,0.9922885894775391,charadriidae,0.9881609678268433,vanellus,0.9881609678268433,miles,0.9881609678268433,8.631127457192633e-06,8.235812856582925e-05,3.298585943412036e-05,4.665972028305987e-06,3.25496080222365e-06,3.828324770438485e-05,0.9881609678268433,2.310801028215792e-05,9.05599426914705e-06,0.002063037594780326,0.00012547413643915206,1.592468652233947e-05,0.0018444267334416509
